UniqueId,Name,Manufacturer,Type,Approved Crop,Min Application Rate,Min Rate UoM,Max Application Rate,Max Rate UoM
0e92427c-69d7-42ab-8631-73c1be5fb131,Roundup PowerMAX,Bayer,Herbicide,Barley,16.0,fl oz/acre,32.0,fl oz/acre
d5b83c88-fac8-4c7a-acc6-55a3ae6c5758,Roundup PowerMAX,Bayer,Herbicide,Oats,16.0,fl oz/acre,32.0,fl oz/acre
7ddb5106-a62f-402f-8939-9dc867c93677,Roundup PowerMAX,Bayer,Herbicide,Sorghum,22.0,fl oz/acre,44.0,fl oz/acre
fc95db27-b315-41c4-bbfb-181478e85dcc,"2,4-D Amine",Nufarm,Herbicide,Corn,1.0,pt/acre,2.0,pt/acre
71189ad5-fdcb-4305-8485-b938e2e7d7e4,"2,4-D Amine",Nufarm,Herbicide,Soybeans,1.0,pt/acre,2.0,pt/acre
87447390-d2ee-47e5-88f1-3594eaeef3cb,"2,4-D Amine",Nufarm,Herbicide,Wheat,0.5,pt/acre,1.5,pt/acre
86c264f4-58ca-4c75-bf2a-1f90f4f0b1b9,"2,4-D Amine",Nufarm,Herbicide,Barley,0.5,pt/acre,1.5,pt/acre
bf55bb58-0b18-44b9-94c7-4cc07b28f37c,"2,4-D Amine",Nufarm,Herbicide,Oats,0.5,pt/acre,1.5,pt/acre
71cb312e-58b7-43dc-b440-bff4fd2ac775,"2,4-D Amine",Nufarm,Herbicide,Sorghum,1.0,pt/acre,2.0,pt/acre
cf77a63c-693d-4f80-ad9f-0d2ae5660070,Dicamba,BASF,Herbicide,Corn,0.5,pt/acre,1.5,pt/acre
9af4c41b-c51a-4446-b9bb-c9f8c6791e91,Dicamba,BASF,Herbicide,Soybeans,0.5,pt/acre,1.5,pt/acre
a4ca8211-2b70-470b-b146-7b5c8ea71e33,Dicamba,BASF,Herbicide,Wheat,0.25,pt/acre,1.0,pt/acre
d4fcc366-413a-475e-8a58-dc0b223c0207,Dicamba,BASF,Herbicide,Barley,0.25,pt/acre,1.0,pt/acre
b186097c-a21b-45b4-bf85-3acc71831b5e,Dicamba,BASF,Herbicide,Oats,0.25,pt/acre,1.0,pt/acre
14f72c30-3a5b-49a6-84bb-4378af453359,Dicamba,BASF,Herbicide,Sorghum,0.5,pt/acre,1.5,pt/acre
232658d4-be1c-49cb-b8de-fe2e4cd5f123,Callisto,Syngenta,Herbicide,Corn,3.0,fl oz/acre,7.7,fl oz/acre
86609fd8-eecc-49ec-bf96-809a115744ec,Callisto,Syngenta,Herbicide,Soybeans,3.0,fl oz/acre,7.7,fl oz/acre
e4ed8209-58b9-446b-97b9-ab36c42e8e4a,Atrazine,Syngenta,Herbicide,Corn,1.0,lb/acre,2.5,lb/acre
18dc54a2-93f1-4fa9-8494-600a03578a5f,Atrazine,Syngenta,Herbicide,Sorghum,1.0,lb/acre,2.5,lb/acre
a23a2328-d470-4651-a379-211d00429b01,Clarity,BASF,Herbicide,Corn,4.0,fl oz/acre,16.0,fl oz/acre
a22c3373-c12a-4f0f-a0b5-aad9eae3874b,Clarity,BASF,Herbicide,Soybeans,4.0,fl oz/acre,16.0,fl oz/acre
cf089c3b-398a-4e24-9455-b322bc762147,Clarity,BASF,Herbicide,Wheat,2.0,fl oz/acre,10.0,fl oz/acre
af5b7ead-08f5-4421-90bf-faf170c7164a,Clarity,BASF,Herbicide,Barley,2.0,fl oz/acre,10.0,fl oz/acre
b78aa41f-215f-484f-9204-ffc66694216b,Clarity,BASF,Herbicide,Oats,2.0,fl oz/acre,10.0,fl oz/acre
38e92c76-54af-4930-bac2-0eb8e0334356,Clarity,BASF,Herbicide,Sorghum,4.0,fl oz/acre,16.0,fl oz/acre
